mode,threads,accounts,transfers,rep,time_us,throughput_ops_s,latency_us_op
broad,1,2000,200000,1,8143,2.4561e+07,0.040715
broad,1,2000,200000,2,8065,2.47985e+07,0.040325
broad,1,2000,200000,3,5831,3.42994e+07,0.029155
broad,1,2000,200000,4,5672,3.52609e+07,0.02836
broad,1,2000,200000,5,7742,2.58331e+07,0.03871
broad,2,2000,200000,1,11961,1.6721e+07,0.059805
broad,2,2000,200000,2,12304,1.62549e+07,0.06152
broad,2,2000,200000,3,11283,1.77258e+07,0.056415
broad,2,2000,200000,4,13015,1.53669e+07,0.065075
broad,2,2000,200000,5,13761,1.45338e+07,0.068805
broad,4,2000,200000,1,21971,9.10291e+06,0.109855
broad,4,2000,200000,2,23565,8.48716e+06,0.117825
broad,4,2000,200000,3,19591,1.02088e+07,0.097955
broad,4,2000,200000,4,21027,9.51158e+06,0.105135
broad,4,2000,200000,5,21376,9.35629e+06,0.10688
broad,8,2000,200000,1,28587,6.99619e+06,0.142935
broad,8,2000,200000,2,28402,7.04176e+06,0.14201
broad,8,2000,200000,3,28509,7.01533e+06,0.142545
broad,8,2000,200000,4,28088,7.12048e+06,0.14044
broad,8,2000,200000,5,28002,7.14235e+06,0.14001
broad,16,2000,200000,1,29140,6.86342e+06,0.1457
broad,16,2000,200000,2,28182,7.09673e+06,0.14091
broad,16,2000,200000,3,30181,6.62669e+06,0.150905
broad,16,2000,200000,4,28429,7.03507e+06,0.142145
broad,16,2000,200000,5,28460,7.02741e+06,0.1423
safe,1,2000,200000,1,8880,2.25225e+07,0.0444
safe,1,2000,200000,2,8896,2.2482e+07,0.04448
safe,1,2000,200000,3,9745,2.05233e+07,0.048725
safe,1,2000,200000,4,9022,2.2168e+07,0.04511
safe,1,2000,200000,5,9747,2.05191e+07,0.048735
safe,2,2000,200000,1,8215,2.43457e+07,0.041075
safe,2,2000,200000,2,7983,2.50532e+07,0.039915
safe,2,2000,200000,3,6976,2.86697e+07,0.03488
safe,2,2000,200000,4,8015,2.49532e+07,0.040075
safe,2,2000,200000,5,6171,3.24097e+07,0.030855
safe,4,2000,200000,1,4577,4.36967e+07,0.022885
safe,4,2000,200000,2,4861,4.11438e+07,0.024305
safe,4,2000,200000,3,5208,3.84025e+07,0.02604
safe,4,2000,200000,4,4796,4.17014e+07,0.02398
safe,4,2000,200000,5,5402,3.70233e+07,0.02701
safe,8,2000,200000,1,3898,5.13084e+07,0.01949
safe,8,2000,200000,2,3944,5.07099e+07,0.01972
safe,8,2000,200000,3,4061,4.9249e+07,0.020305
safe,8,2000,200000,4,3890,5.14139e+07,0.01945
safe,8,2000,200000,5,3600,5.55556e+07,0.018
safe,16,2000,200000,1,3715,5.38358e+07,0.018575
safe,16,2000,200000,2,3575,5.59441e+07,0.017875
safe,16,2000,200000,3,3138,6.37349e+07,0.01569
safe,16,2000,200000,4,3890,5.14139e+07,0.01945
safe,16,2000,200000,5,3595,5.56328e+07,0.017975
