mode,threads,accounts,transfers,rep,time_us,throughput_ops_s,latency_us_op
broad,1,2000,2500000,1,64845,3.85535e+07,0.025938
broad,1,2000,2500000,2,66034,3.78593e+07,0.0264136
broad,1,2000,2500000,3,65892,3.79409e+07,0.0263568
broad,1,2000,2500000,4,65450,3.81971e+07,0.02618
broad,1,2000,2500000,5,65833,3.79749e+07,0.0263332
broad,2,2000,2500000,1,405512,6.16505e+06,0.162205
broad,2,2000,2500000,2,439816,5.6842e+06,0.175926
broad,2,2000,2500000,3,397229,6.2936e+06,0.158892
broad,2,2000,2500000,4,373608,6.69151e+06,0.149443
broad,2,2000,2500000,5,373933,6.68569e+06,0.149573
broad,4,2000,2500000,1,494819,5.05235e+06,0.197928
broad,4,2000,2500000,2,491154,5.09005e+06,0.196462
broad,4,2000,2500000,3,448466,5.57456e+06,0.179386
broad,4,2000,2500000,4,456592,5.47535e+06,0.182637
broad,4,2000,2500000,5,473471,5.28015e+06,0.189388
broad,8,2000,2500000,1,668990,3.73698e+06,0.267596
broad,8,2000,2500000,2,664865,3.76016e+06,0.265946
broad,8,2000,2500000,3,544057,4.59511e+06,0.217623
broad,8,2000,2500000,4,636467,3.92793e+06,0.254587
broad,8,2000,2500000,5,529318,4.72306e+06,0.211727
broad,16,2000,2500000,1,1831812,1.36477e+06,0.732725
broad,16,2000,2500000,2,1587009,1.57529e+06,0.634804
broad,16,2000,2500000,3,1744990,1.43267e+06,0.697996
broad,16,2000,2500000,4,1650567,1.51463e+06,0.660227
broad,16,2000,2500000,5,1486421,1.68189e+06,0.594568
broad,32,2000,2500000,1,1879652,1.33003e+06,0.751861
broad,32,2000,2500000,2,1874925,1.33339e+06,0.74997
broad,32,2000,2500000,3,1884064,1.32692e+06,0.753626
broad,32,2000,2500000,4,1901728,1.31459e+06,0.760691
broad,32,2000,2500000,5,1878021,1.33119e+06,0.751208
broad,64,2000,2499968,1,2005712,1.24642e+06,0.802295
broad,64,2000,2499968,2,2002762,1.24826e+06,0.801115
broad,64,2000,2499968,3,2019059,1.23818e+06,0.807634
broad,64,2000,2499968,4,2012855,1.242e+06,0.805152
broad,64,2000,2499968,5,1975080,1.26576e+06,0.790042
safe,1,2000,2500000,1,85019,2.94052e+07,0.0340076
safe,1,2000,2500000,2,84136,2.97138e+07,0.0336544
safe,1,2000,2500000,3,82840,3.01787e+07,0.033136
safe,1,2000,2500000,4,81274,3.07601e+07,0.0325096
safe,1,2000,2500000,5,82093,3.04533e+07,0.0328372
safe,2,2000,2500000,1,206640,1.20983e+07,0.082656
safe,2,2000,2500000,2,206966,1.20793e+07,0.0827864
safe,2,2000,2500000,3,209323,1.19433e+07,0.0837292
safe,2,2000,2500000,4,205651,1.21565e+07,0.0822604
safe,2,2000,2500000,5,175009,1.4285e+07,0.0700036
safe,4,2000,2500000,1,116822,2.14001e+07,0.0467288
safe,4,2000,2500000,2,116907,2.13845e+07,0.0467628
safe,4,2000,2500000,3,119028,2.10035e+07,0.0476112
safe,4,2000,2500000,4,119251,2.09642e+07,0.0477004
safe,4,2000,2500000,5,117915,2.12017e+07,0.047166
safe,8,2000,2500000,1,80558,3.10335e+07,0.0322232
safe,8,2000,2500000,2,84591,2.9554e+07,0.0338364
safe,8,2000,2500000,3,88165,2.83559e+07,0.035266
safe,8,2000,2500000,4,85101,2.93769e+07,0.0340404
safe,8,2000,2500000,5,75056,3.33085e+07,0.0300224
safe,16,2000,2500000,1,90506,2.76225e+07,0.0362024
safe,16,2000,2500000,2,97589,2.56176e+07,0.0390356
safe,16,2000,2500000,3,88965,2.81009e+07,0.035586
safe,16,2000,2500000,4,91761,2.72447e+07,0.0367044
safe,16,2000,2500000,5,97285,2.56977e+07,0.038914
safe,32,2000,2500000,1,53598,4.66435e+07,0.0214392
safe,32,2000,2500000,2,49564,5.04398e+07,0.0198256
safe,32,2000,2500000,3,58317,4.28691e+07,0.0233268
safe,32,2000,2500000,4,53888,4.63925e+07,0.0215552
safe,32,2000,2500000,5,65719,3.80407e+07,0.0262876
safe,64,2000,2499968,1,54586,4.57987e+07,0.0218347
safe,64,2000,2499968,2,44249,5.64977e+07,0.0176998
safe,64,2000,2499968,3,49408,5.05984e+07,0.0197635
safe,64,2000,2499968,4,46297,5.39985e+07,0.018519
safe,64,2000,2499968,5,39537,6.32311e+07,0.015815
