mode,threads,accounts,transfers,rep,time_us,throughput_ops_s,latency_us_op
broad,1,1000,100000,1,5433536,18404.2,54.3354
broad,1,1000,100000,2,5299105,18871.1,52.9911
broad,1,1000,100000,3,5198250,19237.2,51.9825
broad,2,1000,100000,1,5423767,18437.4,54.2377
broad,2,1000,100000,2,5568720,17957.4,55.6872
broad,2,1000,100000,3,5310073,18832.1,53.1007
broad,4,1000,100000,1,5690761,17572.3,56.9076
broad,4,1000,100000,2,5626414,17773.3,56.2641
broad,4,1000,100000,3,5597466,17865.2,55.9747
broad,8,1000,100000,1,5677775,17612.5,56.7777
broad,8,1000,100000,2,5616809,17803.7,56.1681
broad,8,1000,100000,3,5695136,17558.8,56.9514
broad,16,1000,100000,1,5477387,18256.9,54.7739
broad,16,1000,100000,2,5670197,17636.1,56.702
broad,16,1000,100000,3,5639971,17730.6,56.3997
broad,32,1000,100000,1,5628325,17767.3,56.2833
broad,32,1000,100000,2,5689322,17576.8,56.8932
broad,32,1000,100000,3,5644134,17717.5,56.4413
broad,64,1000,99968,1,5661363,17657.9,56.6318
broad,64,1000,99968,2,5641350,17720.6,56.4316
broad,64,1000,99968,3,5686198,17580.8,56.8802
safe,1,1000,100000,1,5242943,19073.3,52.4294
safe,1,1000,100000,2,5353583,18679.1,53.5358
safe,1,1000,100000,3,5307618,18840.8,53.0762
safe,2,1000,100000,1,2650666,37726.4,26.5067
safe,2,1000,100000,2,2708080,36926.5,27.0808
safe,2,1000,100000,3,2639135,37891.2,26.3913
safe,4,1000,100000,1,1332556,75043.8,13.3256
safe,4,1000,100000,2,1328807,75255.5,13.2881
safe,4,1000,100000,3,1335295,74889.8,13.3529
safe,8,1000,100000,1,672742,148645,6.72742
safe,8,1000,100000,2,671359,148952,6.71359
safe,8,1000,100000,3,677522,147597,6.77522
safe,16,1000,100000,1,342188,292237,3.42188
safe,16,1000,100000,2,308347,324310,3.08347
safe,16,1000,100000,3,304407,328508,3.04407
safe,32,1000,100000,1,175055,571249,1.75055
safe,32,1000,100000,2,160287,623881,1.60287
safe,32,1000,100000,3,162084,616964,1.62084
safe,64,1000,99968,1,99249,1.00724e+06,0.992808
safe,64,1000,99968,2,92783,1.07744e+06,0.928127
safe,64,1000,99968,3,91410,1.09362e+06,0.914393
