mode,threads,accounts,transfers,rep,time_us,throughput_ops_s,latency_us_op
broad,1,500,50000,1,1490,3.3557e+07,0.0298
broad,1,500,50000,2,2117,2.36183e+07,0.04234
broad,2,500,50000,1,3691,1.35465e+07,0.07382
broad,2,500,50000,2,3963,1.26167e+07,0.07926
broad,4,500,50000,1,5210,9.59693e+06,0.1042
broad,4,500,50000,2,5531,9.03996e+06,0.11062
broad,8,500,50000,1,7892,6.33553e+06,0.15784
broad,8,500,50000,2,7945,6.29327e+06,0.1589
broad,16,500,50000,1,7444,6.71682e+06,0.14888
broad,16,500,50000,2,7719,6.47752e+06,0.15438
safe,1,500,50000,1,3250,1.53846e+07,0.065
safe,1,500,50000,2,2450,2.04082e+07,0.049
safe,2,500,50000,1,2247,2.22519e+07,0.04494
safe,2,500,50000,2,2362,2.11685e+07,0.04724
safe,4,500,50000,1,1693,2.95334e+07,0.03386
safe,4,500,50000,2,1828,2.73523e+07,0.03656
safe,8,500,50000,1,1449,3.45066e+07,0.02898
safe,8,500,50000,2,1433,3.48918e+07,0.02866
safe,16,500,50000,1,1653,3.0248e+07,0.03306
safe,16,500,50000,2,1339,3.73413e+07,0.02678
