variant,threads,ops_per_thread,total_ops,rep,time_us,throughput_ops_s
singleLock,1,50000,50000,1,11847,4.22017e+06
singleLock,1,50000,50000,2,17238,2.90044e+06
singleLock,1,50000,50000,3,18985,2.63363e+06
singleLock,1,50000,50000,4,14721,3.39628e+06
singleLock,1,50000,50000,5,13512,3.70041e+06
singleLock,2,50000,100000,1,37085,2.69646e+06
singleLock,2,50000,100000,2,48283,2.0711e+06
singleLock,2,50000,100000,3,31716,3.1529e+06
singleLock,2,50000,100000,4,29985,3.3349e+06
singleLock,2,50000,100000,5,39536,2.5293e+06
singleLock,4,50000,200000,1,94722,2.11144e+06
singleLock,4,50000,200000,2,86955,2.30003e+06
singleLock,4,50000,200000,3,87153,2.29481e+06
singleLock,4,50000,200000,4,112356,1.78006e+06
singleLock,4,50000,200000,5,87629,2.28234e+06
singleLock,8,50000,400000,1,216790,1.8451e+06
singleLock,8,50000,400000,2,218740,1.82865e+06
singleLock,8,50000,400000,3,217063,1.84278e+06
singleLock,8,50000,400000,4,222723,1.79595e+06
singleLock,8,50000,400000,5,197606,2.02423e+06
singleLock,16,50000,800000,1,393450,2.03329e+06
singleLock,16,50000,800000,2,386528,2.0697e+06
singleLock,16,50000,800000,3,402367,1.98823e+06
singleLock,16,50000,800000,4,409279,1.95466e+06
singleLock,16,50000,800000,5,389689,2.05292e+06
handOver,1,50000,50000,1,75808,659558
handOver,1,50000,50000,2,72803,686776
handOver,1,50000,50000,3,71801,696365
handOver,1,50000,50000,4,71357,700698
handOver,1,50000,50000,5,72260,691940
handOver,2,50000,100000,1,90690,1.10265e+06
handOver,2,50000,100000,2,85192,1.17382e+06
handOver,2,50000,100000,3,87748,1.13961e+06
handOver,2,50000,100000,4,84709,1.1805e+06
handOver,2,50000,100000,5,90009,1.11099e+06
handOver,4,50000,200000,1,219849,909713
handOver,4,50000,200000,2,237682,841457
handOver,4,50000,200000,3,260672,767247
handOver,4,50000,200000,4,246782,810431
handOver,4,50000,200000,5,243502,821347
handOver,8,50000,400000,1,629024,635905
handOver,8,50000,400000,2,607539,658393
handOver,8,50000,400000,3,650570,614845
handOver,8,50000,400000,4,633903,631010
handOver,8,50000,400000,5,616134,649209
handOver,16,50000,800000,1,1202460,665303
handOver,16,50000,800000,2,1228625,651134
handOver,16,50000,800000,3,1554761,514548
handOver,16,50000,800000,4,1554676,514576
handOver,16,50000,800000,5,1396832,572725
lockFree,1,50000,50000,1,25873,1.93248e+06
lockFree,1,50000,50000,2,26709,1.87201e+06
lockFree,1,50000,50000,3,30178,1.65683e+06
lockFree,1,50000,50000,4,26311,1.90031e+06
lockFree,1,50000,50000,5,25771,1.94014e+06
lockFree,2,50000,100000,1,23361,4.28048e+06
lockFree,2,50000,100000,2,22739,4.3977e+06
lockFree,2,50000,100000,3,29259,3.41772e+06
lockFree,2,50000,100000,4,22072,4.53053e+06
lockFree,2,50000,100000,5,25499,3.92167e+06
lockFree,4,50000,200000,1,26019,7.68655e+06
lockFree,4,50000,200000,2,24730,8.08733e+06
lockFree,4,50000,200000,3,22857,8.74987e+06
lockFree,4,50000,200000,4,23840,8.38919e+06
lockFree,4,50000,200000,5,26578,7.525e+06
lockFree,8,50000,400000,1,32941,1.21427e+07
lockFree,8,50000,400000,2,30004,1.33313e+07
lockFree,8,50000,400000,3,29585,1.35202e+07
lockFree,8,50000,400000,4,34427,1.16185e+07
lockFree,8,50000,400000,5,31201,1.28198e+07
lockFree,16,50000,800000,1,58209,1.37434e+07
lockFree,16,50000,800000,2,54656,1.46368e+07
lockFree,16,50000,800000,3,51144,1.56419e+07
lockFree,16,50000,800000,4,49152,1.62759e+07
lockFree,16,50000,800000,5,52268,1.53057e+07
